hogar,codigo_sexo,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,Codigo_nivel_educativo,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional,total_trabajopago,total_trabajonopago,intervalo_horasnopagas,intervalo_horaspagas,rango_etario_codigo,intervalo_horasnopagas_codigo,intervalo_horaspagas_codigo,dia_laborable_codigo
504_1,2,Varon,30,Día laborable,7.8,2.3,0,0,1.3,2.5,0,11.5,7.8,2.3,0,0,0.6,2.5,0,10.9,Día atípico,25-39,3,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,15.6,4.6,1-4,15-19,2,2,5,1
505_1,1,Mujer,30,Día laborable,11.8,0.5,0,0,3.5,0,0,9.8,11.5,0.5,0,0,3,0,0,9,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,23.3,1,0,20-24,2,1,6,1
506_1,2,Varon,30,Día no laborable,0,3.1,0,0,4.2,7.3,0,10,0,3.1,0,0,3.9,7.3,0,9.8,Día atípico,25-39,3,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Desocupado,0,6.2,5-9,0,2,3,1,2
506_2,2,Varon,33,Día laborable,9,0.5,0,0,4.5,1,0,12,8.8,0.3,0,0,3.2,1,0,10.8,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,17.8,0.8,0,15-19,2,1,5,1
507_1,2,Varon,30,Día laborable,16.7,0.2,0,0,0.5,0,0,7.7,16.4,0.2,0,0,0.3,0,0,7.2,Día atípico,25-39,1,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,33.1,0.4,0,30-45,2,1,8,1
508_1,2,Varon,30,Día no laborable,0,2.7,0,0,12.3,1,0,9,0,2.7,0,0,11.8,1,0,8.5,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,0,5.4,5-9,0,2,3,1,2
509_1,2,Varon,30,Día laborable,8.5,2,0,0,1,0.5,0,13.2,8.4,2,0,0,0.5,0.5,0,12.6,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,16.9,4,1-4,15-19,2,2,5,1
510_1,1,Mujer,30,Día no laborable,0,4.8,0,0,1,3.8,10.8,10.6,0,2.7,0,0,0.3,3.8,7.8,9.4,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,0,7.5,5-9,0,2,3,1,2
511_1,1,Mujer,30,Día laborable,6.2,4.3,0,0,0.3,0,8.2,12.7,6.2,2.2,0,0,0.1,0,4.5,11.1,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,12.4,6.5,5-9,10-14,2,3,4,1
512_1,2,Varon,30,Día laborable,10.5,0,0,0,6,0,0,9.8,10.5,0,0,0,4.9,0,0,8.6,Día atípico,25-39,4,Secundario completo/Superior incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Ocupado,21,0,0,20-24,2,1,6,1
513_1,1,Mujer,30,Día no laborable,2,1.3,0,0,4.2,1.5,9.5,8.2,2,0.7,0,0,3.7,1.5,8.4,7.7,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,4,2,1-4,1-4,2,2,2,2
514_1,1,Mujer,30,Día laborable,8.4,0.7,0,0,2.2,3.5,0,10.3,8.4,0.7,0,0,1.7,3.5,0,9.8,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,16.8,1.4,1-4,15-19,2,2,5,1
515_1,1,Mujer,30,Día no laborable,4.5,0,0,0,9.3,2.5,0,13.5,4.5,0,0,0,6.4,2.5,0,10.6,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,9,0,0,5-9,2,1,3,2
516_1,2,Varon,30,Día laborable,10.6,1,0,0,3.3,0.8,0,9.3,10.6,1,0,0,2.8,0.8,0,8.8,Día atípico,25-39,1,Superior completo,Otro,Otro,5to quintil,Ocupado,21.2,2,1-4,20-24,2,2,6,1
517_1,2,Varon,30,Día laborable,7.2,0,0,0,3.7,2,0,12.2,7.2,0,0,0,3.2,2,0,11.7,Día atípico,25-39,4,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,14.4,0,0,10-14,2,1,4,1
518_1,2,Varon,30,Día no laborable,0,0.8,0,0,8.3,3.3,0,12.8,0,0.8,0,0,7.8,3.3,0,12.3,Día atípico,25-39,4,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,1.6,1-4,0,2,2,1,2
519_1,2,Varon,30,Día no laborable,2,3.5,0,0,1.5,2.5,0,16,2,3.5,0,0,0.8,2.5,0,15.3,Día atípico,25-39,4,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,4,7,5-9,1-4,2,3,2,2
520_1,2,Varon,30,Día no laborable,0,3.1,0,0,12.5,2,0,10.6,0,1.7,0,0,10.4,2,0,9.9,Día atípico,25-39,4,Superior completo,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Desocupado,0,4.8,1-4,0,2,2,1,2
521_1,2,Varon,30,Día laborable,7,2,0,0,5,2,0,10,7,2,0,0,4,2,0,9,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,14,4,1-4,10-14,2,2,4,1
522_1,1,Mujer,30,Día laborable,10.5,0.7,0,0,2.8,2.4,0,8.3,10.4,0.7,0,0,2.6,2.4,0,8,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,20.9,1.4,1-4,20-24,2,2,6,1
523_1,1,Mujer,30,Día laborable,11.5,0.6,0,0,4.3,0,0,9.3,11.4,0.6,0,0,3.6,0,0,8.5,Día atípico,25-39,4,Superior completo,Jefe,Otro,5to quintil,Ocupado,22.9,1.2,1-4,20-24,2,2,6,1
524_1,2,Varon,30,Día laborable,10,0.2,0,0,1.3,2,0,10.8,9.8,0.2,0,0,1.3,2,0,10.7,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,19.8,0.4,0,15-19,2,1,5,1
525_1,1,Mujer,31,Día laborable,11.2,0,0,0,5,0,0,9.3,11.2,0,0,0,4.3,0,0,8.6,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,22.4,0,0,20-24,2,1,6,1
526_1,2,Varon,31,Día laborable,9.4,1.8,0,4.8,1,0,0,8,9.4,1.8,0,4.8,0.5,0,0,7.5,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,18.8,3.6,1-4,15-19,2,2,5,1
527_1,2,Varon,31,Día no laborable,2,3.2,0,1.5,3,2,0,14.3,1,2.7,0,1.5,3,2,0,13.8,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,3,5.9,5-9,1-4,2,3,2,2
528_1,2,Varon,31,Día laborable,9,0.9,0,3.5,0.3,0,0,10.3,9,0.9,0,3.5,0.3,0,0,10.3,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,18,1.8,1-4,15-19,2,2,5,1
529_1,2,Varon,31,Día no laborable,0,12,0,0.5,6,0,0,19.5,0,4,0,0.5,3,0,0,16.5,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Ocupado,0,16,15-19,0,2,5,1,2
530_1,1,Mujer,31,Día laborable,7.1,1.1,0,5.5,0,1.3,0,9.1,7.1,1.1,0,5.5,0,1.3,0,9.1,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,14.2,2.2,1-4,10-14,2,2,4,1
531_1,1,Mujer,31,Día no laborable,0,2.3,4.3,1,2.3,1,14.5,12.5,0,1.4,2.1,0.8,0.8,1,8.8,9.3,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,0,3.7,1-4,0,2,2,1,2
532_1,1,Mujer,31,Día laborable,8.8,0.5,0,0,6,1,0,9.7,8.3,0.5,0,0,5.5,1,0,8.7,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,17.1,1,0,15-19,2,1,5,1
533_1,2,Varon,31,Día no laborable,0,5.6,0,0,18,0,0,13,0,2.8,0,0,10.2,0,0,11,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,0,8.4,5-9,0,2,3,1,2
534_1,1,Mujer,31,Día laborable,9.5,3,0,0,1,1,5,9.5,9.5,1.6,0,0,0.3,1,2.8,8.8,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,19,4.6,1-4,15-19,2,2,5,1
535_1,1,Mujer,31,Día laborable,4.4,1.7,5.1,0,2.5,0,0,10.5,4.4,1.7,5,0,2.5,0,0,10.4,Día atípico,25-39,4,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,8.8,3.4,1-4,5-9,2,2,3,1
536_1,1,Mujer,31,Día laborable,0,0,0,0,21.8,1,0,14.5,0,0,0,0,13.9,1,0,9.1,Día atípico,25-39,4,Superior completo,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Ocupado,0,0,0,0,2,1,1,1
537_1,2,Varon,31,Día no laborable,0,2.5,0,0,5.3,1.5,1,15.5,0,2.5,0,0,4.4,1.5,1,14.6,Día atípico,25-39,4,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,5,1-4,0,2,2,1,2
538_1,2,Varon,31,Día no laborable,0,6.9,0,0,2,10.3,1,5.8,0,6.9,0,0,1,10.3,0.5,5.3,Día atípico,25-39,1,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,13.8,10-14,0,2,4,1,2
539_1,2,Varon,31,Día laborable,10.8,0,0,0,0,3.5,0,9.8,10.8,0,0,0,0,3.5,0,9.8,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Ocupado,21.6,0,0,20-24,2,1,6,1
540_1,2,Varon,31,Día laborable,12.5,4,0,0,0,0,13.5,5.8,9.5,2,0,0,0,0,7.2,5.3,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,22,6,5-9,20-24,2,3,6,1
541_1,1,Mujer,31,Día laborable,13,0,0,0,0,3.3,0,7.8,13,0,0,0,0,3.3,0,7.8,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,26,0,0,25-29,2,1,7,1
542_1,1,Mujer,31,Día no laborable,0,3.6,0,0,4.5,1,14.8,12.7,0,1.8,0,0,1.5,1,8.4,11.3,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,0,5.4,5-9,0,2,3,1,2
543_1,2,Varon,31,Día laborable,8,3,0,0,2,0,0,15,8,1.7,0,0,0.7,0,0,13.7,Día atípico,25-39,1,Secundario incompleto,Otro,Otro,5to quintil,Ocupado,16,4.7,1-4,15-19,2,2,5,1
544_1,1,Mujer,31,Día laborable,11,0,0,0,6.5,0,0.5,8.5,10.5,0,0,0,5.8,0,0.5,7.3,Día atípico,25-39,1,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,21.5,0,0,20-24,2,1,6,1
545_1,1,Mujer,31,Día laborable,7.3,1.7,0,0,3.7,1.3,0,12.5,7.3,1.3,0,0,2.4,1.3,0,11.7,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,14.6,3,1-4,10-14,2,2,4,1
546_1,1,Mujer,31,Día laborable,7,2.5,0,0,3,0,0,13,7,2,0,0,2.5,0,0,12.5,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,14,4.5,1-4,10-14,2,2,4,1
547_1,1,Mujer,31,Día laborable,11.7,1.2,0,0,0.7,2,0,9.2,11.7,1.2,0,0,0.3,2,0,8.8,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,23.4,2.4,1-4,20-24,2,2,6,1
548_1,2,Varon,31,Día laborable,10.8,1.5,0,0,1.5,0,0,11.8,10.8,1.5,0,0,0.8,0,0,11,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,21.6,3,1-4,20-24,2,2,6,1
549_1,2,Varon,31,Día laborable,9.9,1.3,0,0,2,2.5,0,9.1,9.9,1.3,0,0,1.6,2.5,0,8.7,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,19.8,2.6,1-4,15-19,2,2,5,1
550_1,1,Mujer,31,Día no laborable,0,1,0,0,0,0,11.5,17.5,0,0.5,0,0,0,0,8.5,15,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,0,1.5,1-4,0,2,2,1,2
551_1,2,Varon,31,Día laborable,11.8,1.1,0,0,6.6,0,6.6,10,11.8,0.5,0,0,2.4,0,2.4,7,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,23.6,1.6,1-4,20-24,2,2,6,1
552_1,1,Mujer,31,Día laborable,13.3,1.5,0,0,2.7,0.5,3,8.2,13.3,0.7,0,0,1.1,0.3,1.5,7.1,Día atípico,25-39,3,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,26.6,2.2,1-4,25-29,2,2,7,1
553_1,2,Varon,31,Día laborable,11.3,0.3,0,0,0,2.2,0,10.3,11.3,0.3,0,0,0,2.2,0,10.3,Día atípico,25-39,3,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,22.6,0.6,0,20-24,2,1,6,1
554_1,2,Varon,31,Día no laborable,0,0.3,0,0,14,1.3,0,14.7,0,0.3,0,0,11,1.2,0,11.5,Día atípico,25-39,3,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,0,0.6,0,0,2,1,1,2
555_1,1,Mujer,31,Día no laborable,0,6,0,0,0.7,2.3,4.8,11.5,0,5.8,0,0,0.3,2.3,4.5,11.2,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,0,11.8,10-14,0,2,4,1,2
556_1,2,Varon,31,Día laborable,8.5,2,0,0.7,2.8,2.3,0,8.7,8.5,2,0,0.7,2.3,2.3,0,8.2,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,17,4,1-4,15-19,2,2,5,1
557_1,1,Mujer,31,Día no laborable,0,8.8,0,0,0,0.8,6.8,10.6,0,8,0,0,0,0.8,5.4,9.9,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,0,16.8,15-19,0,2,5,1,2
558_1,1,Mujer,31,Día no laborable,0,0,0,0,24,0.5,0,12.3,0,0,0,0,11.8,0.5,0,11.8,Día atípico,25-39,4,Superior completo,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Ocupado,0,0,0,0,2,1,1,2
559_1,2,Varon,31,Día no laborable,0,4.9,0,0,9.7,0.7,0,13.4,0,4.9,0,0,7.3,0.7,0,11.1,Día atípico,25-39,1,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,0,9.8,5-9,0,2,3,1,2
560_1,2,Varon,31,Día laborable,17,3,0,0,1,0,0,4.3,17,2.8,0,0,0.5,0,0,3.7,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,34,5.8,5-9,30-45,2,3,8,1
561_1,1,Mujer,31,Día laborable,13.3,0.2,0,0,1.7,0,0,10.5,13.1,0.2,0,0,1.1,0,0,9.7,Día atípico,25-39,1,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,26.4,0.4,0,25-29,2,1,7,1
562_1,1,Mujer,31,Día laborable,7.8,2,0,0,2.5,0.5,0,13.8,7.8,2,0,0,1.3,0.5,0,12.5,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,15.6,4,1-4,15-19,2,2,5,1
563_1,1,Mujer,31,Día laborable,8.7,0.3,0,0,4.2,1.8,0,10,8.7,0.3,0,0,3.7,1.8,0,9.5,Día atípico,25-39,4,Superior completo,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Ocupado,17.4,0.6,0,15-19,2,1,5,1
564_1,1,Mujer,31,Día laborable,3,4.2,0,1,0.8,1,9.3,10.3,3,1.8,0,1,0.3,1,7.6,9.4,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,6,6,5-9,5-9,2,3,3,1
565_1,1,Mujer,31,Día laborable,9,1.3,0,0,0,3.3,0,10.4,9,1.3,0,0,0,3.3,0,10.4,Día atípico,25-39,4,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,18,2.6,1-4,15-19,2,2,5,1
566_1,2,Varon,31,Día no laborable,0,1.5,0,0,8.7,3.5,0,12.3,0,1.5,0,0,7.7,3.5,0,11.3,Día atípico,25-39,4,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,3,1-4,0,2,2,1,2
567_1,1,Mujer,32,Día laborable,7.6,2.6,0,2.2,0,0.7,4,9.3,7.6,2.4,0,1.5,0,0.7,2.8,9,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,15.2,5,1-4,15-19,2,2,5,1
568_1,2,Varon,32,Día no laborable,5.5,2,0,0,3,0.8,0,12.8,5.5,2,0,0,3,0.8,0,12.8,Día atípico,25-39,1,Secundario completo/Superior incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Ocupado,11,4,1-4,10-14,2,2,4,2
568_2,2,Varon,31,Día laborable,9,1.3,0,0,4.8,0.2,0,11.1,8.9,1.1,0,0,3.8,0.2,0,10.1,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,17.9,2.4,1-4,15-19,2,2,5,1
569_1,2,Varon,32,Día laborable,10.5,0,0,5.5,1.5,0,0,9.3,10.1,0,0,5.3,0.8,0,0,7.9,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,20.6,0,0,20-24,2,1,6,1
570_1,2,Varon,32,Día laborable,8.8,0,0,3.3,1,0.5,0,11.3,8.8,0,0,3.3,0.5,0.5,0,10.8,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,17.6,0,0,15-19,2,1,5,1
571_1,1,Mujer,32,Día laborable,7.2,2.3,0,5.2,1.3,0.5,0,9.2,7.1,2.3,0,5.2,0.7,0.5,0,8.4,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,14.3,4.6,1-4,10-14,2,2,4,1
572_1,2,Varon,32,Día no laborable,0,4,0,0,11.5,2.5,0,11,0,2,0,0,9,2.5,0,10.5,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,6,5-9,0,2,3,1,2
573_1,2,Varon,32,Día laborable,9,3,0,0,3,0,0,10.8,8.8,2.8,0,0,2.3,0,0,10.2,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,17.8,5.8,5-9,15-19,2,3,5,1
574_1,2,Varon,32,Día no laborable,0,3,0,0,8.5,2,0,12,0,3,0,0,7.8,2,0,11.3,Día atípico,25-39,4,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,0,6,5-9,0,2,3,1,2
575_1,1,Mujer,32,Día laborable,11,2.2,0.8,0,0.9,2,0,9.2,11,1.1,0.8,0,0.5,2,0,8.7,Día atípico,25-39,4,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,22,3.3,1-4,20-24,2,2,6,1
576_1,2,Varon,32,Día no laborable,2.1,0.2,0,0,7,1.7,9.5,9.6,2.1,0.2,0,0,4.2,1.7,7.2,8.8,Día atípico,25-39,4,Secundario incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Ocupado,4.2,0.4,0,1-4,2,1,2,2
577_1,2,Varon,32,Día laborable,11.3,1.1,0,0,1,2,0,9.6,11.3,1.1,0,0,0.5,2,0,9.1,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,22.6,2.2,1-4,20-24,2,2,6,1
578_1,2,Varon,32,Día laborable,8.4,3.8,0,0,2.3,2.4,0,8.8,8.3,3.4,0,0,1.8,2.4,0,8.2,Día atípico,25-39,4,Secundario incompleto,Jefe,Unipersonal,5to quintil,Ocupado,16.7,7.2,5-9,15-19,2,3,5,1
579_1,2,Varon,32,Día laborable,7.4,0.5,0,0,4,0.7,1.5,11.4,7.4,0.5,0,0,3.3,0.7,1,11.2,Día atípico,25-39,4,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,14.8,1,0,10-14,2,1,4,1
580_1,2,Varon,32,Día no laborable,0,0.2,0,0,13.5,0.3,0,16,0,0.1,0,0,10.5,0.3,0,13.1,Día atípico,25-39,1,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,0.3,0,0,2,1,1,2
581_1,2,Varon,32,Día laborable,10.6,1.5,0,0,1,0.8,0,11.1,10.6,1.5,0,0,0.5,0.8,0,10.6,Día atípico,25-39,1,Secundario incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,21.2,3,1-4,20-24,2,2,6,1
582_1,2,Varon,32,Día no laborable,0,8.5,0,0,5.7,0.7,0,12.8,0,6.5,0,0,4.1,0.7,0,12.8,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,0,15,10-14,0,2,4,1,2
583_1,2,Varon,32,Día laborable,7.3,0,0,0,0,1,0,15.7,7.3,0,0,0,0,1,0,15.7,Día atípico,25-39,1,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,14.6,0,0,10-14,2,1,4,1
584_1,1,Mujer,32,Día laborable,8.3,2.9,0,0,1,0,0,12.8,8.3,2.9,0,0,0.5,0,0,12.3,Día atípico,25-39,1,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,16.6,5.8,5-9,15-19,2,3,5,1
585_1,1,Mujer,32,Día no laborable,0,9,0,0,0.7,1,14.3,12.1,0,5,0,0,0.7,1,7.6,9.7,Día atípico,25-39,1,Secundario incompleto,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,0,14,10-14,0,2,4,1,2
586_1,2,Varon,32,Día no laborable,0,7,0,0,8.5,0,6,17,0,2.4,0,0,4.8,0,2.3,14.5,Día atípico,25-39,1,Secundario completo/Superior incompleto,Hijo/a - Hijastro/a,Otro,5to quintil,Desocupado,0,9.4,5-9,0,2,3,1,2
586_2,1,Mujer,22,Día laborable,8.2,2.3,0,0,2.5,0,0.8,14.8,7.9,1.5,0,0,1.2,0,0.3,13.1,Día atípico,14-24,4,Secundario incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,16.1,3.8,1-4,15-19,1,2,5,1
587_1,1,Mujer,32,Día laborable,13,2,0,0,2.5,0,1,7,13,1.8,0,0,1.8,0,1,6.5,Día atípico,25-39,4,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,26,3.8,1-4,25-29,2,2,7,1
588_1,1,Mujer,32,Día laborable,9,1,0,0,4,1,3.3,8.8,8.9,0.5,0,0,2.5,1,3.3,7.8,Día atípico,25-39,4,Superior completo,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,17.9,1.5,1-4,15-19,2,2,5,1
589_1,2,Varon,32,Día laborable,4.5,2.2,0,0,8.5,0,11,9.3,4.5,1.2,0,0,4.3,0,5.6,8.4,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,9,3.4,1-4,5-9,2,2,3,1
590_1,2,Varon,32,Día laborable,7,0.3,0,4.7,3,0,0,11.5,7,0.3,0,4.7,1.8,0,0,10.3,Día atípico,25-39,4,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,14,0.6,0,10-14,2,1,4,1
591_1,2,Varon,32,Día laborable,13.8,1.6,0,0,1,0,0,8.6,13.8,1.6,0,0,0.5,0,0,8.1,Día atípico,25-39,3,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,27.6,3.2,1-4,25-29,2,2,7,1
592_1,2,Varon,32,Día laborable,7.2,0,0,0,7.5,0,0,9.3,7.2,0,0,0,7.5,0,0,9.3,Día atípico,25-39,3,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,14.4,0,0,10-14,2,1,4,1
593_1,2,Varon,32,Día laborable,7.6,1.5,0,0,4,3,0,8.9,7.6,1.5,0,0,3.5,3,0,8.4,Día atípico,25-39,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,15.2,3,1-4,15-19,2,2,5,1
594_1,1,Mujer,32,Día no laborable,0,3,11.5,0,8,0,14,12.5,0,1.1,4.2,0,2.8,0,5.4,10.5,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Nuclear con nucleo incompleto,5to quintil,Ocupado,0,4.1,1-4,0,2,2,1,2
595_1,2,Varon,32,Día laborable,10.3,0,0,0,6,0,0,9.2,10.1,0,0,0,5.5,0,0,8.4,Día atípico,25-39,1,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,20.4,0,0,20-24,2,1,6,1
596_1,1,Mujer,32,Día no laborable,0,0.2,0,0,12.8,0,12,12.5,0,0.1,0,0,7.1,0,5.9,10.9,Día atípico,25-39,1,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Inactivo,0,0.3,0,0,2,1,1,2
597_1,1,Mujer,32,Día laborable,13.8,3.8,0,0,0,0,0,11,11.5,1.9,0,0,0,0,0,10.6,Día atípico,25-39,3,Superior completo,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,25.3,5.7,5-9,25-29,2,3,7,1
598_1,2,Varon,32,Día no laborable,0,6.3,0,0,2.5,3.5,0,14.3,0,5,0,0,1.3,3.5,0,14.3,Día atípico,25-39,1,Superior completo,Jefe,Nuclear con nucleo completo,5to quintil,Ocupado,0,11.3,10-14,0,2,4,1,2
599_1,1,Mujer,32,Día laborable,8,0,4.5,0,4,0,0,12,7.8,0,4.5,0,2,0,0,9.8,Día atípico,25-39,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,15.8,0,0,15-19,2,1,5,1
