hogar,codigo_sexo,sexo,edad,dia_laborable,trabajo_pago,trabajo_domestico_no_pago,voluntariados,estudio_educacion,recreacion,aplicaciones,tareas_cuidados,cuidado_personal,trabajo_pago2,trabajo_domestico_no_pago2,voluntariados2,estudio_educacion2,recreacion2,aplicaciones2,tareas_cuidados2,cuidado_personal2,dia_tipico,rango_etario,Codigo_nivel_educativo,nivel_educativo,relacion_parentesco_jefe,tipo_hogar,quintil_ingreso,estado_ocupacional,total_trabajopago,total_trabajonopago,intervalo_horasnopagas,intervalo_horaspagas,rango_etario_codigo,intervalo_horasnopagas_codigo,intervalo_horaspagas_codigo,dia_laborable_codigo
188_1,2,Varon,21,Día no laborable,0,0,0,0,0.5,12.3,0,11.7,0,0,0,0,0.3,12.3,0,11.4,Día atípico,14-24,1,Secundario incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo incompleto,5to quintil,Inactivo,0,0,0,0,1,1,1,2
189_1,2,Varon,21,Día laborable,6.5,1.3,0,0,6,1,0,12.2,6.5,0.7,0,0,4.5,1,0,11.3,Día atípico,14-24,1,Superior completo,Jefe,Unipersonal,5to quintil,Ocupado,13,2,1-4,10-14,1,2,4,1
190_1,2,Varon,21,Día laborable,12,0.8,0,0,3,0,0,10.3,12,0.8,0,0,2,0,0,9.3,Día atípico,14-24,1,Secundario completo/Superior incompleto,Jefe,Otro,5to quintil,Ocupado,24,1.6,1-4,20-24,1,2,6,1
191_1,1,Mujer,21,Día laborable,5.7,0,0,0,7.3,0,0,11.8,5.7,0,0,0,6.9,0,0,11.4,Día atípico,14-24,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,11.4,0,0,10-14,1,1,4,1
192_1,1,Mujer,21,Día laborable,4.3,0,6.3,0,8.6,0,0,13.4,4.3,0,3,0,4.6,0,0,12.1,Día atípico,14-24,1,Secundario completo/Superior incompleto,Conyugue o pareja,Nuclear con nucleo completo,5to quintil,Ocupado,8.6,0,0,5-9,1,1,3,1
193_1,2,Varon,22,Día laborable,5.5,0,0,9.5,0.7,0,0,9,5.5,0,0,9.5,0.3,0,0,8.7,Día atípico,14-24,1,Secundario completo/Superior incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Ocupado,11,0,0,10-14,1,1,4,1
194_1,2,Varon,22,Día no laborable,0,0,0,10.5,2.7,0,0,10.8,0,0,0,10.5,2.7,0,0,10.8,Día atípico,14-24,1,Secundario completo/Superior incompleto,Otro,Otro,5to quintil,Ocupado,0,0,0,0,1,1,1,2
195_1,2,Varon,22,Día laborable,4.1,0.2,0,0,5.3,5,0,9.9,4.1,0.2,0,0,5.1,5,0,9.7,Día atípico,14-24,1,Secundario completo/Superior incompleto,Otro,Otro,5to quintil,Ocupado,8.2,0.4,0,5-9,1,1,3,1
196_1,1,Mujer,22,Día no laborable,0,0.3,0,9.3,4.3,0,0,11.2,0,0.3,0,9.3,3.8,0,0,10.7,Día atípico,14-24,1,Secundario completo/Superior incompleto,Otro,Otro,5to quintil,Inactivo,0,0.6,0,0,1,1,1,2
197_1,1,Mujer,22,Día laborable,6.8,1.7,0,5.2,0,1,0,9.3,6.8,1.7,0,5.2,0,1,0,9.3,Día atípico,14-24,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,13.6,3.4,1-4,10-14,1,2,4,1
198_1,1,Mujer,22,Día laborable,8.8,0.2,0,1.2,4.1,0,0,12.1,8.5,0.2,0,1.2,3.3,0,0,10.9,Día atípico,14-24,1,Secundario completo/Superior incompleto,Hijo/a - Hijastro/a,Nuclear con nucleo completo,5to quintil,Ocupado,17.3,0.4,0,15-19,1,1,5,1
199_1,1,Mujer,22,Día no laborable,0,0.3,0,6.8,2.5,2,0,15,0,0.3,0,6.8,1.3,2,0,13.8,Día atípico,14-24,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Ocupado,0,0.6,0,0,1,1,1,2
200_1,1,Mujer,22,Día no laborable,0,0.8,0,2.5,4.2,6.3,0,12.5,0,0.8,0,2.5,3.1,6.3,0,11.4,Día atípico,14-24,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo,0,1.6,1-4,0,1,2,1,2
201_1,2,Varon,22,Día no laborable,0,2.8,0,6,4.5,1.5,0,9.2,0,2.8,0,6,4.5,1.5,0,9.2,Día atípico,14-24,1,Secundario completo/Superior incompleto,Jefe,Unipersonal,5to quintil,Inactivo,0,5.6,5-9,0,1,3,1,2
